,Exp Return,Volatility,Sharpe,Min_Corr,Corr_value,Clustering,D,W,M,3M,6M,A,YTD,Security,GICS Sector,GICS Sub-Industry,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,mv_Returns,mv_Volatility,mv_w0,mv_w1,mv_w2,mv_w3,mv_w4,mv_w5,mv_w6,mv_w7,mv_w8,mv_w9,or_Returns,or_Volatility,or_w0,or_w1,or_w2,or_w3,or_w4,or_w5,or_w6,or_w7,or_w8,or_w9
ILMN,0.25376453070757726,0.4524892759676245,0.5608188838617559,VNT,-0.015182088251078672,0.0,2.74%,7.94%,14.87%,19.71%,-0.09%,11.53%,18.27%,Illumina Inc,Health Care,Life Sciences Tools & Services,ILMN,BLL,FDX,TT,LB,COST,CARR,UPS,PWR,WMT,0.43493944613649055,0.26101947447562956,0.16,0.06,0.02,0.01,0.0,0.18,0.15,0.15,0.1,0.16,0.7546443031361256,0.35396627042649176,0.01,0.12,0.04,0.12,0.01,0.01,0.43,0.19,0.04,0.02
INCY,0.049012267031068354,0.4251281981212739,0.1152882054111285,LUMN,0.017592154825129307,0.0,-6.43%,8.09%,2.89%,-3.08%,-16.34%,-0.39%,7.71%,Incyte,Health Care,Biotechnology,INCY,FDX,ALB,SIVB,DE,PWR,BLL,OTIS,DVA,ALGN,0.36743373173939714,0.2955493569003013,0.2,0.02,0.06,0.03,0.01,0.05,0.12,0.23,0.23,0.04,0.5096767640662585,0.35145272772670094,0.0,0.02,0.18,0.0,0.19,0.1,0.03,0.19,0.21,0.06
IR,0.1498473152862907,0.4995216035379337,0.29998165089352596,CPB,-0.11168251401937282,0.0,-6.38%,-1.48%,2.91%,27.98%,62.02%,29.30%,-8.19%,Ingersoll Rand,Industrials,Industrial Machinery,IR,REGN,KR,CLX,DXCM,NLOK,NEM,AKAM,LLY,LUMN,0.2787473229626111,0.21801004827797743,0.18,0.1,0.25,0.18,0.02,0.1,0.09,0.05,0.0,0.02,0.3691924833746464,0.23498890804443617,0.0,0.01,0.11,0.25,0.05,0.24,0.11,0.01,0.2,0.03
INTC,-0.021932678430685405,0.5405597577497263,-0.040574012616085293,VNT,0.092701184354874,3.0,-2.93%,-1.60%,3.04%,-3.09%,-15.56%,-14.69%,14.38%,Intel Corp.,Information Technology,Semiconductors,INTC,LLY,FFIV,ANET,LUMN,KEYS,AMAT,ALXN,AKAM,TROW,0.34295116294116335,0.2834941870102744,0.0,0.2,0.22,0.0,0.09,0.01,0.01,0.18,0.25,0.03,0.4015954362301418,0.3192104276012062,0.0,0.32,0.16,0.03,0.3,0.04,0.07,0.0,0.06,0.03
ICE,0.1916450619858311,0.37305448164143074,0.5137186963753858,KR,0.1472193559857795,0.0,-2.93%,-2.84%,9.57%,15.55%,26.59%,26.15%,-1.86%,Intercontinental Exchange,Financials,Financial Exchanges & Data,ICE,REGN,KR,CLX,DXCM,NLOK,NEM,AKAM,LUMN,LLY,0.3087494310327707,0.22291722805582354,0.06,0.08,0.14,0.17,0.03,0.16,0.1,0.14,0.07,0.02,0.3738395263089476,0.23874059898137143,0.0,0.04,0.09,0.18,0.15,0.16,0.12,0.01,0.07,0.17
IBM,-0.0559722166834662,0.4098704008121801,-0.13656076792213895,CLX,0.19721171197748916,3.0,-0.02%,-7.62%,1.91%,4.96%,7.13%,-1.16%,-4.23%,International Business Machines,Information Technology,IT Consulting & Other Services,IBM,ROL,BIO,WST,ATVI,NLOK,NVDA,ETSY,DG,EBAY,0.3099926223681754,0.25695794295964797,0.18,0.02,0.09,0.13,0.04,0.18,0.01,0.0,0.18,0.15,0.7453766413518933,0.37852982112620126,0.02,0.08,0.05,0.15,0.03,0.02,0.02,0.32,0.04,0.27
IP,0.1297997802015219,0.5018632029286098,0.25863577852306896,DPZ,0.13605719948114514,0.0,-2.38%,2.75%,0.49%,24.00%,44.79%,13.84%,1.58%,International Paper,Materials,Paper Packaging,IP,DXCM,KR,NLOK,CLX,NEM,AKAM,REGN,LLY,EBAY,0.33524377518700893,0.22706488477413084,0.04,0.07,0.18,0.15,0.21,0.18,0.0,0.02,0.11,0.02,0.370784790091482,0.2365174387228545,0.0,0.14,0.15,0.18,0.2,0.03,0.02,0.01,0.05,0.21
IPG,0.11651904007473098,0.5547121237351749,0.21005317008423333,CLX,0.016166693776622533,0.0,-2.10%,-1.44%,5.57%,42.69%,40.55%,7.21%,6.16%,Interpublic Group,Communication Services,Advertising,IPG,AKAM,NFLX,NEM,NLOK,MKTX,AMZN,EBAY,DXCM,DG,0.31006309325474124,0.24545920470824267,0.09,0.13,0.01,0.12,0.22,0.02,0.13,0.02,0.01,0.24,0.4234661807413648,0.27877101594308407,0.01,0.04,0.04,0.13,0.1,0.0,0.24,0.26,0.15,0.03
IFF,-0.07007142769225332,0.4026810825856474,-0.17401221642278072,VNT,0.1365747859256489,3.0,-2.50%,-1.62%,-2.23%,-10.49%,-9.92%,-13.34%,4.59%,International Flavors & Fragrances,Materials,Specialty Chemicals,IFF,EBAY,FFIV,REGN,TROW,NEM,ANET,NLOK,GOOGL,EA,0.3274089687449717,0.2524594476943836,0.02,0.16,0.11,0.12,0.0,0.19,0.04,0.19,0.1,0.05,0.3449226275792038,0.25959638255347295,0.0,0.15,0.18,0.14,0.0,0.19,0.1,0.19,0.01,0.03
INTU,0.3086979674126538,0.4561225868347437,0.6767872855296622,VNT,0.04639865862688862,2.0,-3.12%,1.04%,7.91%,16.65%,28.69%,46.12%,-2.20%,Intuit Inc.,Information Technology,Application Software,INTU,REGN,KR,DXCM,LUMN,CLX,NLOK,LLY,NEM,AKAM,0.33191378733849974,0.22517598170398967,0.0,0.02,0.23,0.01,0.04,0.12,0.22,0.14,0.16,0.05,0.3739646917267338,0.23940975608827772,0.01,0.0,0.1,0.14,0.09,0.2,0.08,0.2,0.15,0.01
ISRG,0.2350638948155471,0.44728411588940126,0.5255359769441728,KR,0.06921153026136101,0.0,-1.42%,-4.41%,12.68%,15.30%,43.57%,38.39%,-5.42%,Intuitive Surgical Inc.,Health Care,Health Care Equipment,ISRG,REGN,KR,LUMN,LLY,NLOK,DXCM,CLX,NEM,AKAM,0.30833032646666947,0.2228616592882657,0.13,0.03,0.23,0.06,0.0,0.17,0.02,0.23,0.1,0.01,0.3907661270945679,0.24734523639844389,0.04,0.0,0.0,0.17,0.2,0.13,0.08,0.27,0.12,0.0
IVZ,0.21423667156228196,0.7322347192008462,0.29257923169239747,KR,0.09796741538583315,0.0,-0.76%,4.85%,7.39%,54.37%,65.96%,3.06%,22.38%,Invesco Ltd.,Financials,Asset Management & Custody Banks,IVZ,AKAM,MKTX,NFLX,EBAY,AMZN,EA,TSCO,CHD,DG,0.30875280726643795,0.2573491191060414,0.01,0.1,0.07,0.01,0.19,0.03,0.15,0.07,0.18,0.18,0.3918047700201897,0.2710223966801004,0.01,0.04,0.01,0.01,0.23,0.21,0.01,0.23,0.13,0.12
IPGP,0.400381079987575,0.5092447155051835,0.7862253015043799,VNT,0.05486231534931109,2.0,-1.05%,2.90%,8.11%,31.66%,39.53%,54.42%,1.28%,IPG Photonics Corp.,Information Technology,Electronic Manufacturing Services,IPGP,REGN,NLOK,KR,DXCM,CLX,LUMN,AKAM,NEM,LLY,0.3353344619393079,0.22440664165270072,0.0,0.06,0.21,0.2,0.1,0.17,0.1,0.03,0.1,0.01,0.3770001598452248,0.23809906048163273,0.04,0.08,0.21,0.01,0.08,0.19,0.15,0.0,0.09,0.14
IQV,0.13361966828884253,0.48332912369237435,0.27645689394435863,KR,0.016901959701483286,0.0,-4.07%,-1.17%,6.02%,13.66%,26.28%,15.96%,-0.40%,IQVIA Holdings Inc.,Health Care,Life Sciences Tools & Services,IQV,REGN,KR,CLX,NLOK,DXCM,NEM,LLY,AKAM,LUMN,0.3195713260116392,0.22488391693887144,0.01,0.02,0.23,0.25,0.27,0.02,0.03,0.01,0.09,0.06,0.38385843021237703,0.24328043271447405,0.0,0.0,0.0,0.37,0.11,0.1,0.15,0.08,0.01,0.18
IRM,0.1713721612634203,0.45760208273686065,0.37450039614869085,VNT,0.013522723771397576,0.0,10.81%,0.43%,9.43%,12.33%,17.74%,0.99%,19.34%,Iron Mountain Incorporated,Real Estate,Specialized REITs,IRM,KR,DXCM,MKTX,CLX,NEM,NLOK,DG,NFLX,AKAM,0.29997841711096884,0.22324555564922757,0.08,0.16,0.04,0.02,0.14,0.15,0.14,0.14,0.05,0.06,0.3499679836655871,0.2353961841354931,0.02,0.12,0.09,0.01,0.25,0.08,0.21,0.07,0.13,0.02
JKHY,0.040309334186644785,0.38785441319538727,0.10392903320230722,UAL,0.09996198839963888,0.0,-3.37%,-1.97%,0.97%,-0.10%,-11.51%,12.37%,-6.71%,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,JKHY,KLAC,TROW,GOOG,PGR,AMD,ANET,TMO,GOOGL,BLK,0.28346021549372447,0.3095559698578661,0.13,0.03,0.04,0.08,0.21,0.0,0.07,0.24,0.15,0.03,0.3918685924421392,0.353798705365739,0.02,0.07,0.05,0.04,0.22,0.22,0.06,0.25,0.0,0.07
J,0.14338262809149216,0.41851761599139076,0.34259639884415677,DPZ,0.14049214188336262,0.0,-3.96%,0.74%,1.04%,17.69%,29.04%,22.36%,-4.09%,Jacobs Engineering Group,Industrials,Construction & Engineering,J,KR,DXCM,CLX,NLOK,NEM,AKAM,REGN,LLY,MKTX,0.30313126063288426,0.2247239216037495,0.07,0.17,0.02,0.19,0.21,0.1,0.11,0.06,0.03,0.02,0.3507509811930184,0.23499780981134302,0.02,0.11,0.01,0.2,0.32,0.09,0.02,0.0,0.21,0.01
JBHT,0.15669772729790807,0.40641350852429176,0.38556230049263257,KR,0.1423885640053915,0.0,-5.39%,-3.54%,1.01%,8.36%,14.03%,18.11%,0.50%,J. B. Hunt Transport Services,Industrials,Trucking,JBHT,REGN,KR,NLOK,LUMN,LLY,CLX,DXCM,NEM,KEYS,0.2919715454583295,0.22371390780654163,0.17,0.01,0.24,0.18,0.06,0.06,0.07,0.01,0.11,0.07,0.38328666519192345,0.24149258936352339,0.0,0.04,0.05,0.22,0.11,0.16,0.22,0.16,0.03,0.0
SJM,0.20075056027523822,0.3229712147515788,0.6215741561663642,CCL,-0.06682558529965772,0.0,3.30%,0.13%,-1.37%,0.83%,10.95%,14.50%,7.28%,JM Smucker,Consumer Staples,Packaged Foods & Meats,SJM,VNT,REGN,DXCM,LUMN,FFIV,LLY,AMAT,NWSA,TROW,0.341287769133796,0.21729706919520927,0.2,0.21,0.2,0.1,0.06,0.14,0.02,0.0,0.04,0.01,0.39338187411337866,0.23516522302670056,0.07,0.34,0.02,0.0,0.18,0.08,0.17,0.01,0.06,0.05
JNJ,0.15936550419807746,0.2923668416596993,0.5450874774081635,VNT,0.08772146688994231,0.0,-1.53%,2.03%,8.78%,6.44%,13.44%,10.82%,7.42%,Johnson & Johnson,Health Care,Pharmaceuticals,JNJ,REGN,CLX,KR,DXCM,NLOK,NEM,FDX,UPS,MKTX,0.2910741862027087,0.21894199128700584,0.15,0.04,0.09,0.2,0.04,0.21,0.12,0.02,0.09,0.02,0.3459364983185415,0.23528341765656718,0.04,0.02,0.24,0.16,0.12,0.13,0.13,0.09,0.05,0.02
JCI,0.19413388811071902,0.41867138237903134,0.4636903697778078,DPZ,0.09964607053806282,0.0,-3.89%,1.04%,1.76%,14.69%,38.11%,17.70%,6.14%,Johnson Controls International,Industrials,Building Products,JCI,REGN,KR,DXCM,CLX,NLOK,NEM,AKAM,LLY,MKTX,0.3066621602878787,0.2223310983722881,0.18,0.02,0.21,0.02,0.2,0.22,0.06,0.01,0.06,0.02,0.3531908514670179,0.23449407690715404,0.02,0.03,0.16,0.13,0.24,0.2,0.13,0.0,0.08,0.01
JPM,-0.013818764466458777,0.5242459488457003,-0.026359315693111843,CLX,0.029330955569265665,3.0,-2.83%,-3.50%,7.80%,33.22%,37.68%,-5.53%,4.00%,JPMorgan Chase & Co.,Financials,Diversified Banks,JPM,DG,EBAY,CHD,TSCO,WST,ATVI,AMZN,MKTX,NVDA,0.2906733682698997,0.2599345533691838,0.11,0.23,0.17,0.22,0.08,0.01,0.17,0.0,0.01,0.0,0.44855472166561167,0.27191104722715254,0.01,0.13,0.19,0.06,0.17,0.22,0.05,0.17,0.0,0.0
JNPR,0.10330971818441623,0.3643973071664331,0.28350845671104546,VNT,0.06456412393570979,0.0,5.95%,2.45%,3.40%,5.65%,0.20%,-5.34%,17.64%,Juniper Networks,Information Technology,Communications Equipment,JNPR,FDX,BLL,COST,WMT,REGN,ROL,UPS,TT,PWR,0.2309887516062641,0.2535578664105336,0.14,0.0,0.07,0.23,0.21,0.14,0.02,0.13,0.04,0.01,0.37514115622759964,0.2921039369942763,0.0,0.1,0.02,0.15,0.08,0.15,0.22,0.01,0.06,0.21
KSU,0.28464648487322625,0.4751800999523792,0.5990286312531868,KR,0.08319643903441404,2.0,-4.70%,2.25%,9.89%,13.13%,37.33%,34.56%,1.53%,Kansas City Southern,Industrials,Railroads,KSU,REGN,KR,CLX,DXCM,NLOK,NEM,LLY,AKAM,LUMN,0.32451124363406025,0.22346368525079888,0.08,0.03,0.21,0.22,0.01,0.18,0.06,0.08,0.07,0.05,0.3743093395771147,0.2384566580657366,0.06,0.0,0.04,0.2,0.06,0.19,0.14,0.2,0.01,0.1
K,-0.06911547220611945,0.30914663487488614,-0.22356857364496618,TDG,-0.03140157826197762,0.0,2.36%,-1.24%,-2.63%,-2.78%,-4.17%,-6.78%,-1.27%,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,K,TMUS,NKE,BLL,MSCI,MXIM,TT,QCOM,AVGO,KLAC,0.24766225116106014,0.29106296357860967,0.32,0.27,0.0,0.17,0.03,0.0,0.08,0.08,0.0,0.04,0.4196137156912306,0.3676920452903751,0.0,0.24,0.02,0.08,0.02,0.13,0.16,0.26,0.02,0.06
KEY,-0.10033458988014765,0.7421690110655584,-0.13519102574236253,CLX,-0.04106918698321563,3.0,-4.24%,-1.14%,6.14%,39.13%,38.28%,-14.50%,5.45%,KeyCorp,Financials,Regional Banks,KEY,WST,ATVI,TSCO,CHD,DG,EA,NVDA,EBAY,BIO,0.33651522454695054,0.26246016859708987,0.04,0.08,0.08,0.12,0.16,0.16,0.1,0.0,0.15,0.1,0.4919638592848019,0.299813163983498,0.01,0.3,0.0,0.19,0.01,0.06,0.03,0.08,0.28,0.04
KEYS,0.3377876242386454,0.42610742893076003,0.7927287845843539,VNT,0.03483783815777324,2.0,2.89%,-0.77%,10.04%,33.72%,31.07%,28.71%,13.63%,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,KEYS,REGN,KR,NLOK,DXCM,CLX,AKAM,NEM,CHD,EBAY,0.31715774698899585,0.2275748543667298,0.07,0.01,0.18,0.16,0.03,0.17,0.03,0.13,0.13,0.08,0.3670849299216425,0.2425764962328723,0.0,0.03,0.07,0.17,0.1,0.24,0.05,0.15,0.02,0.18
KMB,0.03118243822927731,0.30141823302114107,0.10345239541992211,CARR,-0.12688971285810619,0.0,1.11%,0.70%,-2.46%,-7.98%,-3.21%,0.95%,2.26%,Kimberly-Clark,Consumer Staples,Household Products,KMB,ALXN,ANET,ENPH,ALB,DVA,SIVB,ALGN,AMAT,FFIV,0.32671963380951,0.31364615278345803,0.25,0.14,0.05,0.0,0.08,0.01,0.08,0.04,0.05,0.29,0.7835928616411207,0.4467810775664837,0.07,0.13,0.0,0.27,0.13,0.21,0.03,0.0,0.05,0.1
KIM,-0.07171458905158552,0.7262286875407707,-0.09874931998959273,CPB,-0.1460125159873797,3.0,0.00%,1.15%,5.06%,34.73%,19.12%,-23.94%,18.45%,Kimco Realty,Real Estate,Retail REITs,KIM,TMO,DHR,FAST,TTWO,CTLT,CMG,UPS,LLY,SNPS,0.34043003491925083,0.2865203029113078,0.13,0.16,0.13,0.01,0.14,0.0,0.1,0.12,0.14,0.04,0.48438130011904357,0.3187512374814628,0.01,0.09,0.02,0.01,0.17,0.08,0.17,0.05,0.21,0.2
KMI,-0.27051513536249094,0.5511551030047424,-0.4908148974539447,KR,-0.012839612542767304,3.0,-2.63%,-1.10%,-4.94%,13.33%,-6.16%,-30.77%,7.53%,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,KMI,KEYS,CARR,ANET,OTIS,SIVB,FFIV,GOOGL,GOOG,TROW,0.3790484656915831,0.29818961662926813,0.06,0.1,0.08,0.09,0.2,0.0,0.15,0.08,0.19,0.04,0.6010146337503551,0.32473468316090504,0.01,0.15,0.26,0.08,0.13,0.05,0.13,0.18,0.0,0.01
KLAC,0.4656171503430402,0.5824081833546508,0.7994687637476205,VNT,0.1636768417237804,2.0,-6.30%,0.29%,2.75%,34.16%,34.22%,47.94%,12.97%,KLA Corporation,Information Technology,Semiconductor Equipment,KLAC,REGN,NLOK,KR,DXCM,CLX,NEM,AKAM,LUMN,CHD,0.30803599167751683,0.22902509223219414,0.03,0.07,0.17,0.19,0.0,0.13,0.1,0.01,0.11,0.18,0.36917015380789314,0.24388010922294154,0.06,0.06,0.22,0.09,0.11,0.23,0.05,0.01,0.17,0.0
KHC,0.13237323472810394,0.4129064163702014,0.32058895061931286,VNT,0.12398374103229144,0.0,1.02%,2.88%,5.22%,17.11%,11.25%,13.78%,0.03%,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,KHC,REGN,LUMN,NLOK,KR,BLL,TT,LLY,ENPH,LB,0.33591222079785593,0.24623758408359592,0.04,0.16,0.02,0.21,0.21,0.02,0.13,0.18,0.01,0.01,0.7435679891704561,0.3809545358004723,0.01,0.06,0.06,0.23,0.13,0.03,0.02,0.15,0.27,0.05
KR,0.23996481041287226,0.32523486194582224,0.7378200755515739,MTB,-0.21288738496662302,0.0,4.53%,-0.42%,-3.76%,-5.81%,-5.15%,11.90%,15.85%,Kroger Co.,Consumer Staples,Food Retail,KR,SIVB,VNT,ANET,AMAT,NWSA,KEYS,ALXN,ALGN,FFIV,0.3818610537892191,0.23352847860851175,0.23,0.04,0.34,0.11,0.04,0.08,0.08,0.0,0.05,0.02,0.3818610537892191,0.23352847860851175,0.23,0.04,0.34,0.11,0.04,0.08,0.08,0.0,0.05,0.02
LB,0.7382711057930594,0.9264543568415464,0.7968780116809657,CPB,-0.06560975632630121,2.0,-12.70%,0.18%,-4.17%,16.91%,148.43%,107.78%,9.71%,L Brands Inc.,Consumer Discretionary,Apparel Retail,LB,REGN,DXCM,KR,CLX,NLOK,NEM,LLY,AKAM,LUMN,0.3426769347811841,0.22248768875808486,0.02,0.0,0.1,0.27,0.19,0.21,0.04,0.08,0.03,0.04,0.3950835160587368,0.2416408736918848,0.04,0.01,0.0,0.01,0.24,0.22,0.11,0.24,0.01,0.12
LHX,-0.08746667273872084,0.4036400723643933,-0.21669472068610357,KR,0.14237592447276057,3.0,-0.43%,-2.53%,-1.55%,11.78%,12.41%,-2.76%,-4.80%,L3Harris Technologies,Industrials,Aerospace & Defense,LHX,ZBRA,BLK,NKE,BLL,LRCX,TXN,LB,ALXN,AVGO,0.27431766897919274,0.332907373947859,0.09,0.09,0.0,0.24,0.22,0.02,0.12,0.0,0.18,0.04,0.4174164289793715,0.39916862522900337,0.0,0.11,0.08,0.01,0.29,0.11,0.02,0.17,0.16,0.05
LH,0.2413349143381056,0.5067172093620722,0.47627139927205625,KR,0.1455005900520069,0.0,-3.23%,2.32%,1.86%,8.12%,22.54%,20.32%,7.61%,Laboratory Corp. of America Holding,Health Care,Health Care Services,LH,REGN,KR,CLX,NLOK,DXCM,NEM,LUMN,AKAM,LLY,0.3342554609770463,0.22713670685701912,0.03,0.03,0.19,0.15,0.2,0.07,0.17,0.05,0.04,0.06,0.3803244418083981,0.24032693675108438,0.01,0.01,0.04,0.21,0.15,0.13,0.09,0.12,0.04,0.19
LRCX,0.5214212408243107,0.6242847228361934,0.8352298586699949,VNT,0.04774555910711457,2.0,-6.81%,2.98%,4.60%,42.72%,46.95%,64.18%,8.79%,Lam Research,Information Technology,Semiconductor Equipment,LRCX,REGN,KR,DXCM,NLOK,CLX,NEM,AKAM,LUMN,CHD,0.3182569888231125,0.22755681584378096,0.03,0.06,0.21,0.01,0.15,0.19,0.07,0.11,0.12,0.03,0.3591382600689257,0.2397519119201668,0.03,0.02,0.07,0.07,0.24,0.23,0.18,0.03,0.11,0.03
LW,-0.10561767599074899,0.5715406779958828,-0.18479467876389688,CTXS,-0.0870693561483615,3.0,-4.61%,-0.45%,8.79%,19.22%,24.04%,-7.23%,-3.86%,Lamb Weston Holdings Inc,Consumer Staples,Packaged Foods & Meats,LW,PYPL,MSFT,ADBE,TMUS,MSCI,ETSY,TTWO,CDNS,CHD,0.33072598720775526,0.3102985952064362,0.17,0.09,0.09,0.02,0.03,0.0,0.03,0.1,0.12,0.34,0.7750581268114857,0.41861691314799576,0.02,0.11,0.04,0.02,0.17,0.04,0.36,0.19,0.0,0.05
LVS,-0.3056974735395308,0.5739220920124511,-0.5326462908364551,NEM,-0.12993838301209001,3.0,-6.45%,1.38%,6.98%,27.73%,30.87%,-11.95%,-17.70%,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,LVS,SNPS,TMO,DHR,FAST,AMD,CMG,CTLT,TTWO,AAPL,0.27838790851407524,0.30447876243368627,0.18,0.01,0.17,0.22,0.1,0.01,0.02,0.05,0.22,0.01,0.5070141476292728,0.3412239858764811,0.0,0.14,0.14,0.13,0.01,0.03,0.15,0.15,0.1,0.14
LEG,-0.12032671125322479,0.6451276693407921,-0.18651612226798098,KR,0.025785310647719537,3.0,-1.82%,1.10%,3.79%,8.66%,28.42%,-9.05%,-3.39%,Leggett & Platt,Consumer Discretionary,Home Furnishings,LEG,NEM,LLY,DXCM,NLOK,CLX,KR,MKTX,AKAM,NFLX,0.31769113582298647,0.2285489295686338,0.02,0.09,0.11,0.0,0.25,0.08,0.29,0.09,0.01,0.05,0.37830345207917576,0.24946602277276902,0.01,0.17,0.17,0.07,0.19,0.13,0.11,0.01,0.01,0.15
LDOS,0.11866895810346573,0.4232540301591702,0.2803728958205991,KR,0.13182519153371047,0.0,-0.37%,4.56%,4.73%,18.30%,13.03%,8.95%,5.21%,Leidos Holdings,Information Technology,IT Consulting & Other Services,LDOS,POOL,BIO,ODFL,ATVI,DHR,TMO,WMT,FDX,PGR,0.29582712758179663,0.2711814636086922,0.1,0.06,0.0,0.08,0.15,0.13,0.04,0.26,0.01,0.16,0.4111596809147503,0.31160932572913846,0.0,0.22,0.0,0.17,0.24,0.0,0.24,0.01,0.06,0.05
LEN,0.3857406395245737,0.660066180782884,0.5843969146655245,KR,-0.010255553471274005,2.0,-1.13%,10.48%,0.49%,-6.39%,24.32%,37.97%,11.07%,Lennar Corp.,Consumer Discretionary,Homebuilding,LEN,VNT,REGN,LLY,KR,LUMN,CLX,NLOK,NEM,DXCM,0.357656054439941,0.18499313066653558,0.02,0.25,0.03,0.02,0.25,0.06,0.19,0.13,0.02,0.02,0.3959441774565077,0.2006406454194912,0.03,0.24,0.01,0.06,0.01,0.13,0.34,0.1,0.04,0.03
LLY,0.4468679217871731,0.4217515711752442,1.0595524766912905,CARR,0.05052180187429568,2.0,-2.42%,8.06%,15.92%,14.65%,3.87%,31.04%,24.26%,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,LLY,FDX,OTIS,UPS,BLL,CARR,CHD,TT,REGN,LB,0.36407302857233415,0.2556733982750474,0.17,0.04,0.25,0.09,0.03,0.02,0.21,0.1,0.07,0.01,0.6060021685594768,0.2870042105375624,0.22,0.04,0.12,0.0,0.04,0.25,0.17,0.05,0.07,0.03
LNC,-0.130129120832578,0.9230300343347458,-0.1409803754938113,CLX,0.011215377893471445,1.0,-4.64%,-1.36%,6.54%,64.28%,41.50%,-10.07%,-2.76%,Lincoln National,Financials,Multi-line Insurance,LNC,MKTX,DG,EBAY,WST,CHD,NVDA,AMZN,TSCO,ATVI,0.4000322936582621,0.2621190313138473,0.0,0.04,0.17,0.17,0.13,0.16,0.01,0.16,0.11,0.04,0.5065086161227021,0.3056848502550505,0.01,0.01,0.09,0.13,0.22,0.0,0.11,0.2,0.22,0.02
LIN,0.1620296235899269,0.38105872068643587,0.42520906829805166,KR,0.1283846994108629,0.0,-5.06%,-2.56%,3.15%,11.07%,25.17%,25.88%,-5.19%,Linde plc,Materials,Industrial Gases,LIN,REGN,KR,LUMN,LLY,NLOK,DXCM,CLX,NEM,FFIV,0.32483423404033274,0.2173181560984433,0.08,0.05,0.14,0.09,0.05,0.18,0.04,0.17,0.1,0.08,0.37166909485075666,0.23138753520742417,0.01,0.03,0.0,0.12,0.09,0.2,0.08,0.22,0.1,0.15
LYV,-0.023904996483109408,0.706490634426367,-0.0338362538981412,CHD,-0.17364590978895822,3.0,-0.26%,0.99%,11.93%,36.38%,65.76%,2.81%,-5.16%,Live Nation Entertainment,Communication Services,Movies & Entertainment,LYV,AKAM,MKTX,NFLX,EBAY,AMZN,LLY,DG,EA,NLOK,0.3104826512645807,0.24558040620921281,0.06,0.11,0.04,0.01,0.19,0.01,0.08,0.23,0.05,0.21,0.3961544020461124,0.26000641510405986,0.0,0.01,0.05,0.03,0.21,0.17,0.17,0.11,0.06,0.19
LKQ,0.029146546976032334,0.6370631504676367,0.045751425042615146,CLX,-0.05637128125533233,3.0,-2.88%,-1.85%,0.06%,27.08%,34.50%,-1.29%,5.15%,LKQ Corporation,Consumer Discretionary,Distributors,LKQ,CLX,DXCM,NLOK,KR,NEM,AKAM,LLY,REGN,NFLX,0.2932351536486666,0.22468534787165306,0.07,0.17,0.0,0.13,0.26,0.1,0.09,0.06,0.08,0.03,0.36185007489452237,0.23735194382235764,0.0,0.18,0.14,0.14,0.16,0.11,0.05,0.13,0.01,0.07
LMT,-0.12617480678848406,0.4005096981174599,-0.31503558436050655,VNT,0.0974988822786955,3.0,0.55%,-2.13%,-2.75%,-6.74%,-1.45%,-6.49%,-6.17%,Lockheed Martin Corp.,Industrials,Aerospace & Defense,LMT,NKE,BLL,INTU,CMI,MNST,TXN,ANSS,CARR,BLK,0.5015284597051438,0.30915656033304206,0.05,0.13,0.2,0.07,0.03,0.2,0.06,0.0,0.23,0.01,0.6432096410669982,0.34646552861962715,0.0,0.01,0.01,0.02,0.12,0.19,0.05,0.13,0.33,0.13
L,-0.09104774301797974,0.5701686413197184,-0.1596856375812596,CLX,0.1592175596443556,3.0,-1.88%,-1.48%,7.42%,29.74%,31.71%,-13.69%,3.75%,Loews Corp.,Financials,Multi-line Insurance,L,CMG,FAST,CTLT,TTWO,POOL,SNPS,CDNS,ETSY,AMD,0.4181847364816873,0.335475173765832,0.08,0.22,0.16,0.0,0.22,0.08,0.07,0.14,0.0,0.01,0.8389633673377344,0.43941487131109674,0.03,0.2,0.02,0.07,0.13,0.03,0.05,0.06,0.4,0.01
LOW,0.3453866555393883,0.5065623487558866,0.681824569843486,VNT,0.10362588809610944,2.0,-3.45%,0.97%,3.01%,-2.89%,19.66%,36.40%,7.02%,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,LOW,VNT,LUMN,REGN,LLY,KR,NLOK,FFIV,ANET,KEYS,0.35571169292107657,0.19865824331268228,0.0,0.3,0.02,0.04,0.02,0.26,0.04,0.3,0.0,0.03,0.39363342130919954,0.21859633409035784,0.03,0.27,0.09,0.02,0.17,0.05,0.18,0.06,0.02,0.11
